,angle,distance,servo
94,2.7401669256310974,3228.25,75.0
95,2.763619787454771,3201.25,75.0
96,2.786799941582821,3159.25,75.0
97,2.810252803406495,3117.5,75.0
98,2.8337056652301684,3097.25,75.0
99,2.8568858193582183,3074.75,75.0
100,2.906245912266183,2154.5,75.0
101,2.929971481785481,2164.75,75.0
102,2.952878928217906,2202.5,75.0
103,3.000057359560878,2072.5,75.0
104,3.0993229607680557,1341.5,75.0
105,3.1227758225917293,1323.75,75.0
106,3.1465013921110274,1312.25,75.0
107,3.1704996693259493,1309.0,75.0
108,3.193407115758375,1306.5,75.0
109,3.2165872698864244,1302.0,75.0
110,3.2405855471013467,1307.25,75.0
111,3.262402162751276,1312.5,75.0
112,3.286673147661822,1312.75,75.0
113,3.3090351787029992,1319.0,75.0
114,3.333033455917921,1321.25,75.0
115,3.355940902350347,1317.75,75.0
116,3.3796664718696445,1304.25,75.0
117,3.402028502910822,1294.0,75.0
118,3.4483888111669216,1351.0,75.0
119,3.4710235499037227,1355.75,75.0
120,3.494749119423021,1353.5,75.0
121,3.5171111504641983,1350.75,75.0
122,3.5419275507659926,1355.25,75.0
123,3.626194228713844,2946.5,75.0
124,3.6493743828418936,2884.75,75.0
125,3.6733726600568155,2819.25,75.0
126,3.719732968312915,2647.75,75.0
127,3.743458537832213,2652.0,75.0
128,3.7669113996558865,2599.5,75.0
129,4.1203405731847385,713.5,75.0
130,4.169973373788327,667.0,75.0
131,4.193971651003249,656.25,75.0
132,4.215515558957554,653.5,75.0
133,4.241422790041845,650.75,75.0
134,4.263239405691774,642.75,75.0
135,4.287783098297944,637.5,75.0
136,4.311508667817242,630.25,75.0
137,4.3344161142496676,632.0,75.0
138,4.3559600222039725,630.0,75.0
139,4.381594545592639,625.0,75.0
140,4.403138453546944,622.5,75.0
141,4.428500269239987,625.25,75.0
142,4.536492516707137,744.25,75.0
143,4.587488855788846,635.0,75.0
144,4.613941502264384,643.5,75.0
145,4.634939994827441,648.75,75.0
146,4.6583928566511155,653.5,75.0
147,4.680209472301044,657.5,75.0
148,4.70311691873347,661.75,75.0
149,4.728751442122137,665.75,75.0
150,5.240078371417351,209.75,75.0
151,5.8618519174403305,402.25,75.0
152,5.889395394698366,397.5,75.0
153,5.908757641087678,394.75,75.0
154,5.9414825645625715,391.0,75.0
155,5.957026903213146,388.0,75.0
156,5.981570595819316,387.75,75.0
157,6.002841796077997,388.0,75.0
158,6.031476104118529,387.5,75.0
159,6.051656473594713,388.25,75.0
160,6.07729099698338,389.75,75.0
161,6.102380104980798,390.75,75.0
162,6.121196935978863,393.25,75.0
163,6.147104167063153,396.75,75.0
164,6.164830167278721,400.5,75.0
0,0,0,0
0,6.188010321406771,405.25,70.0
1,1.210822168571066,1878.75,70.0
2,1.2331841996122435,1858.0,70.0
3,1.2571824768271656,1844.5,70.0
4,1.2806353386508393,1830.5,70.0
5,1.303815492778889,1816.0,70.0
6,1.3272683546025628,1801.5,70.0
7,1.3504485087306124,1793.0,70.0
8,1.3739013705542862,1778.5,70.0
9,1.3976269400735841,1759.75,70.0
10,1.4205343865060098,1751.5,70.0
11,1.4448053714165559,1744.5,70.0
12,1.466349279370861,1738.5,70.0
13,1.490620264281407,1731.5,70.0
14,1.5132550030182086,1726.75,70.0
15,1.53588974175501,1725.75,70.0
16,1.559888018969932,1723.5,70.0
17,1.5830681730979816,1721.25,70.0
18,1.6065210349216554,1715.75,70.0
19,1.6294284813540811,1716.0,70.0
20,1.6523359277865066,1718.75,70.0
21,1.6757887896101804,1720.0,70.0
22,1.6995143591294783,1723.75,70.0
23,1.722694513257528,1725.5,70.0
24,1.746147375081202,1727.25,70.0
25,1.7685094061223792,1733.25,70.0
26,1.791689560250429,1742.0,70.0
27,1.8148697143784787,1745.25,70.0
28,1.8380498685065283,1751.0,70.0
29,1.8609573149389538,1766.0,70.0
30,1.8841374690670036,1781.25,70.0
31,1.9064995001081808,1796.25,70.0
32,1.9294069465406065,1806.0,70.0
33,1.9531325160599045,1813.25,70.0
34,1.976312670187954,1813.0,70.0
35,1.9997655320116279,1823.5,70.0
36,2.022400270748429,1850.75,70.0
37,2.045853132572103,1866.75,70.0
38,2.0684878713089048,1887.0,70.0
39,2.09139531774133,1908.25,70.0
40,2.114848179565004,1929.5,70.0
41,2.138028333693054,1955.5,70.0
42,2.160663072429855,1977.75,70.0
43,2.1835705188622807,2005.75,70.0
44,2.2070233806859547,2028.75,70.0
45,2.2293854117271317,2054.5,70.0
46,2.25311098124643,2095.0,70.0
47,2.2757457199832314,2141.0,70.0
48,2.2978350433287846,2190.75,70.0
49,2.3204697820655857,2240.25,70.0
50,2.3439226438892597,2285.25,70.0
51,2.3668300903216855,2335.75,70.0
52,2.389464829058487,2396.75,70.0
53,2.412099567795288,2459.5,70.0
54,2.435007014227714,2520.75,70.0
